Date,Product_ID,Quantity,Unit_Price,Total_Sales,Location
2023-09-18 02:41:23,P940,5,73.05,365.23,Tokyo
2023-01-26 09:19:44,P428,3,93.98,281.94,Tokyo
2023-01-27 09:08:58,P981,16,70.85,1133.61,Tokyo
2023-10-29 00:51:36,P169,13,10.96,142.52,Tokyo
2023-07-11 08:33:47,P812,16,28.26,452.14,Tokyo
2023-08-18 23:56:47,P526,11,44.26,486.81,Tokyo
2023-12-07 01:40:44,P587,12,59.02,708.27,Tokyo
2023-12-15 01:42:46,P653,8,54.0,432.01,Tokyo
2023-04-18 02:51:44,P324,13,11.89,154.52,Tokyo
2023-02-28 21:09:48,P261,5,89.66,448.28,Tokyo
